Metric,AD Statistics,Pearson R,P-value,Relationship,Degree,Strength Score (0-4),Is Significant?
Accuracy,AD_motion,0.12466693590200074,0.50400193881652,(+) Positive,Low,1,0
Accuracy,AD_HR,0.18479991419848363,0.3196167045059296,(+) Positive,Low,1,0
Accuracy,AD_cosine,-0.044243385470914574,0.8131771820890629,(-) Negative,Low,1,0
Accuracy,AD_label,-0.013972488567220043,0.9405313315660357,(-) Negative,Low,1,0
Sleep Correct,AD_motion,-0.12890143601543272,0.48950807111070005,(-) Negative,Low,1,0
Sleep Correct,AD_HR,0.05698117909668872,0.7607715652658511,(+) Positive,Low,1,0
Sleep Correct,AD_cosine,-0.21635088710140496,0.24240441868537316,(-) Negative,Low,1,0
Sleep Correct,AD_label,-0.037473286665065095,0.841372276025163,(-) Negative,Low,1,0
Wake Correct,AD_motion,0.05298630011953387,0.7771073657088006,(+) Positive,Low,1,0
Wake Correct,AD_HR,-0.04395749276738212,0.8143634566406747,(-) Negative,Low,1,0
Wake Correct,AD_cosine,0.2682589431151247,0.14453124494724118,(+) Positive,Low,1,0
Wake Correct,AD_label,0.3353584326504018,0.06514177712561953,(+) Positive,Moderate,2,0
Sleep Predictive,AD_motion,0.18845025955160144,0.3099809169913397,(+) Positive,Low,1,0
Sleep Predictive,AD_HR,0.19397702733061867,0.29574179454160765,(+) Positive,Low,1,0
Sleep Predictive,AD_cosine,-0.06283875871588884,0.7370022044957751,(-) Negative,Low,1,0
Sleep Predictive,AD_label,-0.054337707534194694,0.7715703735476708,(-) Negative,Low,1,0
Wake Predictive,AD_motion,-0.19038451102644272,0.30494956337504114,(-) Negative,Low,1,0
Wake Predictive,AD_HR,-0.23661758071015696,0.19998902730207702,(-) Negative,Low,1,0
Wake Predictive,AD_cosine,0.18873805842263677,0.30922902890204795,(+) Positive,Low,1,0
Wake Predictive,AD_label,-0.0599653642921932,0.7486338463053036,(-) Negative,Low,1,0
AUC,AD_motion,-0.010493498378244866,0.9553212492868721,(-) Negative,Low,1,0
AUC,AD_HR,-0.030841188618055595,0.8691810286514668,(-) Negative,Low,1,0
AUC,AD_cosine,0.15450640566787963,0.40659288036851954,(+) Positive,Low,1,0
AUC,AD_label,0.3554995410438194,0.04968735179265135,(+) Positive,Moderate,2,1
k,AD_motion,-0.006350229456408704,0.9729537849194633,(-) Negative,Low,1,0
k,AD_HR,-0.08312233787921948,0.6566394420835044,(-) Negative,Low,1,0
k,AD_cosine,0.3562931403659255,0.04914415331867362,(+) Positive,Moderate,2,1
k,AD_label,0.12504518230685707,0.5026986141334274,(+) Positive,Low,1,0
